order_id,shipping_mode,days_for_shipping,days_for_shipment_scheduled,late_delivery,delivery_status
14922,Standard Class,3,4,0,Advance shipping
47376,Standard Class,2,4,0,Advance shipping
56917,Standard Class,3,4,0,Advance shipping
57741,Standard Class,2,4,0,Advance shipping
3962,Standard Class,3,4,0,Advance shipping
6257,Standard Class,3,4,0,Advance shipping
43857,Standard Class,3,4,0,Advance shipping
22036,Standard Class,2,4,0,Advance shipping
25786,Standard Class,2,4,0,Advance shipping
5262,Standard Class,3,4,0,Advance shipping
50912,Standard Class,3,4,0,Advance shipping
41472,Standard Class,3,4,0,Advance shipping
24266,Standard Class,2,4,0,Advance shipping
36176,Standard Class,2,4,0,Advance shipping
2592,Standard Class,3,4,0,Advance shipping
46847,Standard Class,3,4,0,Advance shipping
24631,Standard Class,2,4,0,Advance shipping
32122,Standard Class,3,4,0,Advance shipping
56086,Standard Class,2,4,0,Advance shipping
49891,Standard Class,2,4,0,Advance shipping
26756,Standard Class,2,4,0,Advance shipping
52267,Standard Class,3,4,0,Advance shipping
32427,Standard Class,3,4,0,Advance shipping
4427,Standard Class,3,4,0,Advance shipping
22857,Standard Class,3,4,0,Advance shipping
38601,Standard Class,2,4,0,Advance shipping
41506,Standard Class,2,4,0,Advance shipping
41712,Standard Class,3,4,0,Advance shipping
23972,Standard Class,3,4,0,Advance shipping
24856,Standard Class,2,4,0,Advance shipping
12886,Standard Class,2,4,0,Advance shipping
8221,Standard Class,2,4,0,Advance shipping
10451,Standard Class,2,4,0,Advance shipping
23366,Standard Class,2,4,0,Advance shipping
56732,Standard Class,3,4,0,Advance shipping
51582,Standard Class,3,4,0,Advance shipping
31337,Standard Class,3,4,0,Advance shipping
47236,Standard Class,2,4,0,Advance shipping
5217,Standard Class,3,4,0,Advance shipping
48866,Standard Class,2,4,0,Advance shipping
7036,Standard Class,2,4,0,Advance shipping
6471,Standard Class,2,4,0,Advance shipping
37197,Standard Class,3,4,0,Advance shipping
50832,Standard Class,3,4,0,Advance shipping
35417,Standard Class,3,4,0,Advance shipping
53806,Standard Class,2,4,0,Advance shipping
37877,Standard Class,3,4,0,Advance shipping
24167,Standard Class,3,4,0,Advance shipping
17481,Standard Class,2,4,0,Advance shipping
29337,Standard Class,3,4,0,Advance shipping
35081,Standard Class,2,4,0,Advance shipping
23086,Standard Class,2,4,0,Advance shipping
5492,Standard Class,3,4,0,Advance shipping
44217,Standard Class,3,4,0,Advance shipping
19506,Standard Class,2,4,0,Advance shipping
16312,Standard Class,3,4,0,Advance shipping
13012,Standard Class,3,4,0,Advance shipping
42307,Standard Class,3,4,0,Advance shipping
14502,Standard Class,3,4,0,Advance shipping
1582,Standard Class,3,4,0,Advance shipping
29612,Standard Class,3,4,0,Advance shipping
52036,Standard Class,2,4,0,Advance shipping
28251,Standard Class,2,4,0,Advance shipping
4866,Standard Class,2,4,0,Advance shipping
43111,Standard Class,2,4,0,Advance shipping
22991,Standard Class,2,4,0,Advance shipping
8441,Standard Class,2,4,0,Advance shipping
57681,Standard Class,2,4,0,Advance shipping
44271,Standard Class,2,4,0,Advance shipping
7977,Standard Class,3,4,0,Advance shipping
55502,Standard Class,3,4,0,Advance shipping
41856,Standard Class,2,4,0,Advance shipping
38056,Standard Class,2,4,0,Advance shipping
39606,Standard Class,2,4,0,Advance shipping
33046,Standard Class,2,4,0,Advance shipping
13207,Standard Class,3,4,0,Advance shipping
30746,Standard Class,2,4,0,Advance shipping
10006,Standard Class,2,4,0,Advance shipping
17937,Standard Class,3,4,0,Advance shipping
56437,Standard Class,3,4,0,Advance shipping
1811,Standard Class,2,4,0,Advance shipping
1647,Standard Class,3,4,0,Advance shipping
39977,Standard Class,3,4,0,Advance shipping
17996,Standard Class,2,4,0,Advance shipping
20586,Standard Class,2,4,0,Advance shipping
10387,Standard Class,3,4,0,Advance shipping
35201,Standard Class,2,4,0,Advance shipping
19771,Standard Class,2,4,0,Advance shipping
47202,Standard Class,3,4,0,Advance shipping
18497,Standard Class,3,4,0,Advance shipping
42707,Standard Class,3,4,0,Advance shipping
34682,Standard Class,3,4,0,Advance shipping
9566,Standard Class,2,4,0,Advance shipping
38017,Standard Class,3,4,0,Advance shipping
52481,Standard Class,2,4,0,Advance shipping
46411,Standard Class,2,4,0,Advance shipping
26676,Standard Class,2,4,0,Advance shipping
38972,Standard Class,3,4,0,Advance shipping
17961,Standard Class,2,4,0,Advance shipping
51787,Standard Class,3,4,0,Advance shipping
68251,Standard Class,2,4,0,Advance shipping
67531,Standard Class,2,4,0,Advance shipping
67757,Standard Class,3,4,0,Advance shipping
67476,Standard Class,2,4,0,Advance shipping
68397,Standard Class,3,4,0,Advance shipping
68146,Standard Class,2,4,0,Advance shipping
68026,Standard Class,2,4,0,Advance shipping
67827,Standard Class,3,4,0,Advance shipping
68381,Standard Class,2,4,0,Advance shipping
68786,Standard Class,2,4,0,Advance shipping
68822,Standard Class,3,4,0,Advance shipping
67597,Standard Class,3,4,0,Advance shipping
67861,Standard Class,2,4,0,Advance shipping
67872,Standard Class,3,4,0,Advance shipping
68371,Standard Class,2,4,0,Advance shipping
67696,Standard Class,2,4,0,Advance shipping
67521,Standard Class,2,4,0,Advance shipping
67472,Standard Class,3,4,0,Advance shipping
68206,Standard Class,2,4,0,Advance shipping
68577,Standard Class,3,4,0,Advance shipping
68586,Standard Class,2,4,0,Advance shipping
67677,Standard Class,3,4,0,Advance shipping
67246,Standard Class,2,4,0,Advance shipping
65471,Standard Class,2,4,0,Advance shipping
61837,Standard Class,3,4,0,Advance shipping
62241,Standard Class,2,4,0,Advance shipping
65822,Standard Class,3,4,0,Advance shipping
62177,Standard Class,3,4,0,Advance shipping
59342,Standard Class,3,4,0,Advance shipping
59667,Standard Class,3,4,0,Advance shipping
59092,Standard Class,3,4,0,Advance shipping
65346,Standard Class,2,4,0,Advance shipping
60627,Standard Class,3,4,0,Advance shipping
63947,Standard Class,3,4,0,Advance shipping
61527,Standard Class,3,4,0,Advance shipping
59271,Standard Class,2,4,0,Advance shipping
62701,Standard Class,2,4,0,Advance shipping
15231,Standard Class,2,4,0,Advance shipping
46677,Standard Class,3,4,0,Advance shipping
52637,Standard Class,3,4,0,Advance shipping
37076,Standard Class,2,4,0,Advance shipping
7327,Standard Class,3,4,0,Advance shipping
29926,Standard Class,2,4,0,Advance shipping
17,Standard Class,3,4,0,Advance shipping
42496,Standard Class,2,4,0,Advance shipping
40331,Standard Class,2,4,0,Advance shipping
52707,Standard Class,3,4,0,Advance shipping
57356,Standard Class,2,4,0,Advance shipping
2636,Standard Class,2,4,0,Advance shipping
13552,Standard Class,3,4,0,Advance shipping
54107,Standard Class,3,4,0,Advance shipping
51611,Standard Class,2,4,0,Advance shipping
35817,Standard Class,3,4,0,Advance shipping
51332,Standard Class,3,4,0,Advance shipping
6691,Standard Class,2,4,0,Advance shipping
54692,Standard Class,3,4,0,Advance shipping
10142,Standard Class,3,4,0,Advance shipping
12547,Standard Class,3,4,0,Advance shipping
50342,Standard Class,3,4,0,Advance shipping
48131,Standard Class,2,4,0,Advance shipping
48886,Standard Class,2,4,0,Advance shipping
6277,Standard Class,3,4,0,Advance shipping
39872,Standard Class,3,4,0,Advance shipping
28952,Standard Class,3,4,0,Advance shipping
18252,Standard Class,3,4,0,Advance shipping
51671,Standard Class,2,4,0,Advance shipping
30792,Standard Class,3,4,0,Advance shipping
18887,Standard Class,3,4,0,Advance shipping
8521,Standard Class,2,4,0,Advance shipping
1736,Standard Class,2,4,0,Advance shipping
29301,Standard Class,2,4,0,Advance shipping
50532,Standard Class,3,4,0,Advance shipping
51887,Standard Class,3,4,0,Advance shipping
1007,Standard Class,3,4,0,Advance shipping
6877,Standard Class,3,4,0,Advance shipping
19631,Standard Class,2,4,0,Advance shipping
11182,Standard Class,3,4,0,Advance shipping
45686,Standard Class,2,4,0,Advance shipping
53381,Standard Class,2,4,0,Advance shipping
44082,Standard Class,3,4,0,Advance shipping
52001,Standard Class,2,4,0,Advance shipping
17617,Standard Class,3,4,0,Advance shipping
53702,Standard Class,3,4,0,Advance shipping
31787,Standard Class,3,4,0,Advance shipping
24342,Standard Class,3,4,0,Advance shipping
55566,Standard Class,2,4,0,Advance shipping
34092,Standard Class,3,4,0,Advance shipping
39282,Standard Class,3,4,0,Advance shipping
32371,Standard Class,2,4,0,Advance shipping
15662,Standard Class,3,4,0,Advance shipping
14881,Standard Class,2,4,0,Advance shipping
14776,Standard Class,2,4,0,Advance shipping
32532,Standard Class,3,4,0,Advance shipping
1567,Standard Class,3,4,0,Advance shipping
35901,Standard Class,2,4,0,Advance shipping
131,Standard Class,2,4,0,Advance shipping
12582,Standard Class,3,4,0,Advance shipping
48042,Standard Class,3,4,0,Advance shipping
28451,Standard Class,2,4,0,Advance shipping
57596,Standard Class,2,4,0,Advance shipping
57261,Standard Class,2,4,0,Advance shipping
57172,Standard Class,3,4,0,Advance shipping
56981,Standard Class,2,4,0,Advance shipping
56351,Standard Class,2,4,0,Advance shipping
55632,Standard Class,3,4,0,Advance shipping
54252,Standard Class,3,4,0,Advance shipping
47482,Standard Class,3,4,0,Advance shipping
10491,Standard Class,2,4,0,Advance shipping
37556,Standard Class,2,4,0,Advance shipping
19317,Standard Class,3,4,0,Advance shipping
7927,Standard Class,3,4,0,Advance shipping
30687,Standard Class,3,4,0,Advance shipping
19237,Standard Class,3,4,0,Advance shipping
18457,Standard Class,3,4,0,Advance shipping
38467,Standard Class,3,4,0,Advance shipping
47197,Standard Class,3,4,0,Advance shipping
10237,Standard Class,3,4,0,Advance shipping
12436,Standard Class,2,4,0,Advance shipping
50627,Standard Class,3,4,0,Advance shipping
13702,Standard Class,3,4,0,Advance shipping
20471,Standard Class,2,4,0,Advance shipping
48112,Standard Class,3,4,0,Advance shipping
6222,Standard Class,3,4,0,Advance shipping
42706,Standard Class,2,4,0,Advance shipping
40227,Standard Class,3,4,0,Advance shipping
5376,Standard Class,2,4,0,Advance shipping
12901,Standard Class,2,4,0,Advance shipping
28221,Standard Class,2,4,0,Advance shipping
28997,Standard Class,3,4,0,Advance shipping
17516,Standard Class,2,4,0,Advance shipping
33817,Standard Class,3,4,0,Advance shipping
2066,Standard Class,2,4,0,Advance shipping
5311,Standard Class,2,4,0,Advance shipping
43201,Standard Class,2,4,0,Advance shipping
47617,Standard Class,3,4,0,Advance shipping
29856,Standard Class,2,4,0,Advance shipping
32541,Standard Class,2,4,0,Advance shipping
46257,Standard Class,3,4,0,Advance shipping
23576,Standard Class,2,4,0,Advance shipping
32616,Standard Class,2,4,0,Advance shipping
49261,Standard Class,2,4,0,Advance shipping
34477,Standard Class,3,4,0,Advance shipping
5201,Standard Class,2,4,0,Advance shipping
41316,Standard Class,2,4,0,Advance shipping
2941,Standard Class,2,4,0,Advance shipping
38322,Standard Class,3,4,0,Advance shipping
43641,Standard Class,2,4,0,Advance shipping
42871,Standard Class,2,4,0,Advance shipping
46006,Standard Class,2,4,0,Advance shipping
35911,Standard Class,2,4,0,Advance shipping
48216,Standard Class,2,4,0,Advance shipping
38392,Standard Class,3,4,0,Advance shipping
29272,Standard Class,3,4,0,Advance shipping
51387,Standard Class,3,4,0,Advance shipping
33147,Standard Class,3,4,0,Advance shipping
46692,Standard Class,3,4,0,Advance shipping
35601,Standard Class,2,4,0,Advance shipping
38917,Standard Class,3,4,0,Advance shipping
10567,Standard Class,3,4,0,Advance shipping
15277,Standard Class,3,4,0,Advance shipping
48791,Standard Class,2,4,0,Advance shipping
68612,Standard Class,3,4,0,Advance shipping
68377,Standard Class,3,4,0,Advance shipping
67736,Standard Class,2,4,0,Advance shipping
67692,Standard Class,3,4,0,Advance shipping
67691,Standard Class,2,4,0,Advance shipping
67587,Standard Class,3,4,0,Advance shipping
67526,Standard Class,2,4,0,Advance shipping
56671,Standard Class,2,4,0,Advance shipping
56641,Standard Class,2,4,0,Advance shipping
53921,Standard Class,2,4,0,Advance shipping
52132,Standard Class,3,4,0,Advance shipping
50392,Standard Class,3,4,0,Advance shipping
50036,Standard Class,2,4,0,Advance shipping
46701,Standard Class,2,4,0,Advance shipping
46521,Standard Class,2,4,0,Advance shipping
46307,Standard Class,3,4,0,Advance shipping
46136,Standard Class,2,4,0,Advance shipping
45801,Standard Class,2,4,0,Advance shipping
44507,Standard Class,3,4,0,Advance shipping
44456,Standard Class,2,4,0,Advance shipping
43577,Standard Class,3,4,0,Advance shipping
43461,Standard Class,2,4,0,Advance shipping
42352,Standard Class,3,4,0,Advance shipping
42106,Standard Class,2,4,0,Advance shipping
41726,Standard Class,2,4,0,Advance shipping
41711,Standard Class,2,4,0,Advance shipping
41226,Standard Class,2,4,0,Advance shipping
40946,Standard Class,2,4,0,Advance shipping
40226,Standard Class,2,4,0,Advance shipping
38902,Standard Class,3,4,0,Advance shipping
38046,Standard Class,2,4,0,Advance shipping
37652,Standard Class,3,4,0,Advance shipping
37132,Standard Class,3,4,0,Advance shipping
36156,Standard Class,2,4,0,Advance shipping
35387,Standard Class,3,4,0,Advance shipping
33902,Standard Class,3,4,0,Advance shipping
33082,Standard Class,3,4,0,Advance shipping
32901,Standard Class,2,4,0,Advance shipping
32192,Standard Class,3,4,0,Advance shipping
30617,Standard Class,3,4,0,Advance shipping
26887,Standard Class,3,4,0,Advance shipping
25482,Standard Class,3,4,0,Advance shipping
25007,Standard Class,3,4,0,Advance shipping
23012,Standard Class,3,4,0,Advance shipping
22207,Standard Class,3,4,0,Advance shipping
21937,Standard Class,3,4,0,Advance shipping
21611,Standard Class,2,4,0,Advance shipping
20757,Standard Class,3,4,0,Advance shipping
18311,Standard Class,2,4,0,Advance shipping
17542,Standard Class,3,4,0,Advance shipping
16852,Standard Class,3,4,0,Advance shipping
14526,Standard Class,2,4,0,Advance shipping
14121,Standard Class,2,4,0,Advance shipping
13356,Standard Class,2,4,0,Advance shipping
12267,Standard Class,3,4,0,Advance shipping
11827,Standard Class,3,4,0,Advance shipping
11022,Standard Class,3,4,0,Advance shipping
9161,Standard Class,2,4,0,Advance shipping
8866,Standard Class,2,4,0,Advance shipping
6816,Standard Class,2,4,0,Advance shipping
6332,Standard Class,3,4,0,Advance shipping
6327,Standard Class,3,4,0,Advance shipping
5901,Standard Class,2,4,0,Advance shipping
4927,Standard Class,3,4,0,Advance shipping
3486,Standard Class,2,4,0,Advance shipping
297,Standard Class,3,4,0,Advance shipping
262,Standard Class,3,4,0,Advance shipping
12,Standard Class,3,4,0,Advance shipping
55447,Standard Class,3,4,0,Advance shipping
54417,Standard Class,3,4,0,Advance shipping
54146,Standard Class,2,4,0,Advance shipping
53676,Standard Class,2,4,0,Advance shipping
53186,Standard Class,2,4,0,Advance shipping
50877,Standard Class,3,4,0,Advance shipping
50607,Standard Class,3,4,0,Advance shipping
49696,Standard Class,2,4,0,Advance shipping
49302,Standard Class,3,4,0,Advance shipping
49136,Standard Class,2,4,0,Advance shipping
49081,Standard Class,2,4,0,Advance shipping
48176,Standard Class,2,4,0,Advance shipping
47917,Standard Class,3,4,0,Advance shipping
46292,Standard Class,3,4,0,Advance shipping
44567,Standard Class,3,4,0,Advance shipping
41611,Standard Class,2,4,0,Advance shipping
40991,Standard Class,2,4,0,Advance shipping
39991,Standard Class,2,4,0,Advance shipping
39767,Standard Class,3,4,0,Advance shipping
39191,Standard Class,2,4,0,Advance shipping
38776,Standard Class,2,4,0,Advance shipping
38256,Standard Class,2,4,0,Advance shipping
37186,Standard Class,2,4,0,Advance shipping
36412,Standard Class,3,4,0,Advance shipping
36141,Standard Class,2,4,0,Advance shipping
35406,Standard Class,2,4,0,Advance shipping
34137,Standard Class,3,4,0,Advance shipping
33811,Standard Class,2,4,0,Advance shipping
33411,Standard Class,2,4,0,Advance shipping
32457,Standard Class,3,4,0,Advance shipping
32207,Standard Class,3,4,0,Advance shipping
31346,Standard Class,2,4,0,Advance shipping
30317,Standard Class,3,4,0,Advance shipping
29031,Standard Class,2,4,0,Advance shipping
28476,Standard Class,2,4,0,Advance shipping
28217,Standard Class,3,4,0,Advance shipping
26232,Standard Class,3,4,0,Advance shipping
26116,Standard Class,2,4,0,Advance shipping
24952,Standard Class,3,4,0,Advance shipping
23011,Standard Class,2,4,0,Advance shipping
20426,Standard Class,2,4,0,Advance shipping
19871,Standard Class,2,4,0,Advance shipping
19712,Standard Class,3,4,0,Advance shipping
19626,Standard Class,2,4,0,Advance shipping
19191,Standard Class,2,4,0,Advance shipping
19111,Standard Class,2,4,0,Advance shipping
17056,Standard Class,2,4,0,Advance shipping
16721,Standard Class,2,4,0,Advance shipping
16707,Standard Class,3,4,0,Advance shipping
16367,Standard Class,3,4,0,Advance shipping
16362,Standard Class,3,4,0,Advance shipping
15692,Standard Class,3,4,0,Advance shipping
15507,Standard Class,3,4,0,Advance shipping
15307,Standard Class,3,4,0,Advance shipping
15281,Standard Class,2,4,0,Advance shipping
15132,Standard Class,3,4,0,Advance shipping
14692,Standard Class,3,4,0,Advance shipping
14066,Standard Class,2,4,0,Advance shipping
13542,Standard Class,3,4,0,Advance shipping
13507,Standard Class,3,4,0,Advance shipping
13391,Standard Class,2,4,0,Advance shipping
11942,Standard Class,3,4,0,Advance shipping
11272,Standard Class,3,4,0,Advance shipping
11146,Standard Class,2,4,0,Advance shipping
9491,Standard Class,2,4,0,Advance shipping
9456,Standard Class,2,4,0,Advance shipping
9172,Standard Class,3,4,0,Advance shipping
8826,Standard Class,2,4,0,Advance shipping
8132,Standard Class,3,4,0,Advance shipping
7552,Standard Class,3,4,0,Advance shipping
6727,Standard Class,3,4,0,Advance shipping
5562,Standard Class,3,4,0,Advance shipping
3747,Standard Class,3,4,0,Advance shipping
3522,Standard Class,3,4,0,Advance shipping
3411,Standard Class,2,4,0,Advance shipping
2886,Standard Class,2,4,0,Advance shipping
2456,Standard Class,2,4,0,Advance shipping
2232,Standard Class,3,4,0,Advance shipping
396,Standard Class,2,4,0,Advance shipping
207,Standard Class,3,4,0,Advance shipping
202,Standard Class,3,4,0,Advance shipping
116,Standard Class,2,4,0,Advance shipping
8686,Standard Class,2,4,0,Advance shipping
27246,Standard Class,2,4,0,Advance shipping
55417,Standard Class,3,4,0,Advance shipping
3226,Standard Class,2,4,0,Advance shipping
39217,Standard Class,3,4,0,Advance shipping
38911,Standard Class,2,4,0,Advance shipping
28491,Standard Class,2,4,0,Advance shipping
27457,Standard Class,3,4,0,Advance shipping
54886,Standard Class,2,4,0,Advance shipping
1617,Standard Class,3,4,0,Advance shipping
12272,Standard Class,3,4,0,Advance shipping
37082,Standard Class,3,4,0,Advance shipping
33982,Standard Class,3,4,0,Advance shipping
17551,Standard Class,2,4,0,Advance shipping
57112,Standard Class,3,4,0,Advance shipping
4641,Standard Class,2,4,0,Advance shipping
39876,Standard Class,2,4,0,Advance shipping
44307,Standard Class,3,4,0,Advance shipping
41606,Standard Class,2,4,0,Advance shipping
5466,Standard Class,2,4,0,Advance shipping
28121,Standard Class,2,4,0,Advance shipping
16771,Standard Class,2,4,0,Advance shipping
50491,Standard Class,2,4,0,Advance shipping
7902,Standard Class,3,4,0,Advance shipping
51592,Standard Class,3,4,0,Advance shipping
4187,Standard Class,3,4,0,Advance shipping
16646,Standard Class,2,4,0,Advance shipping
34422,Standard Class,3,4,0,Advance shipping
21332,Standard Class,3,4,0,Advance shipping
31476,Standard Class,2,4,0,Advance shipping
2692,Standard Class,3,4,0,Advance shipping
1502,Standard Class,3,4,0,Advance shipping
32596,Standard Class,2,4,0,Advance shipping
50107,Standard Class,3,4,0,Advance shipping
43786,Standard Class,2,4,0,Advance shipping
18717,Standard Class,3,4,0,Advance shipping
517,Standard Class,3,4,0,Advance shipping
27596,Standard Class,2,4,0,Advance shipping
46381,Standard Class,2,4,0,Advance shipping
44657,Standard Class,3,4,0,Advance shipping
8571,Standard Class,2,4,0,Advance shipping
8167,Standard Class,3,4,0,Advance shipping
39497,Standard Class,3,4,0,Advance shipping
10592,Standard Class,3,4,0,Advance shipping
42916,Standard Class,2,4,0,Advance shipping
38121,Standard Class,2,4,0,Advance shipping
7422,Standard Class,3,4,0,Advance shipping
17441,Standard Class,2,4,0,Advance shipping
571,Standard Class,2,4,0,Advance shipping
11771,Standard Class,2,4,0,Advance shipping
41256,Standard Class,2,4,0,Advance shipping
17291,Standard Class,2,4,0,Advance shipping
25301,Standard Class,2,4,0,Advance shipping
56286,Standard Class,2,4,0,Advance shipping
57676,Standard Class,2,4,0,Advance shipping
36522,Standard Class,3,4,0,Advance shipping
19326,Standard Class,2,4,0,Advance shipping
50177,Standard Class,3,4,0,Advance shipping
48607,Standard Class,3,4,0,Advance shipping
50872,Standard Class,3,4,0,Advance shipping
676,Standard Class,2,4,0,Advance shipping
36072,Standard Class,3,4,0,Advance shipping
42286,Standard Class,2,4,0,Advance shipping
36016,Standard Class,2,4,0,Advance shipping
28891,Standard Class,2,4,0,Advance shipping
28421,Standard Class,2,4,0,Advance shipping
35936,Standard Class,2,4,0,Advance shipping
60146,Standard Class,2,4,0,Advance shipping
8636,Standard Class,2,4,0,Advance shipping
42751,Standard Class,2,4,0,Advance shipping
42882,Standard Class,3,4,0,Advance shipping
46827,Standard Class,3,4,0,Advance shipping
46416,Standard Class,2,4,0,Advance shipping
44301,Standard Class,2,4,0,Advance shipping
15202,Standard Class,3,4,0,Advance shipping
64451,Standard Class,2,4,0,Advance shipping
62336,Standard Class,2,4,0,Advance shipping
47002,Standard Class,3,4,0,Advance shipping
67566,Standard Class,2,4,0,Advance shipping
20931,Standard Class,2,4,0,Advance shipping
45646,Standard Class,2,4,0,Advance shipping
29731,Standard Class,2,4,0,Advance shipping
42777,Standard Class,3,4,0,Advance shipping
23886,Standard Class,2,4,0,Advance shipping
47846,Standard Class,2,4,0,Advance shipping
64222,Standard Class,3,4,0,Advance shipping
63907,Standard Class,3,4,0,Advance shipping
67046,Standard Class,2,4,0,Advance shipping
65312,Standard Class,3,4,0,Advance shipping
16436,Standard Class,2,4,0,Advance shipping
17347,Standard Class,3,4,0,Advance shipping
19496,Standard Class,2,4,0,Advance shipping
67866,Standard Class,2,4,0,Advance shipping
17467,Standard Class,3,4,0,Advance shipping
66702,Standard Class,3,4,0,Advance shipping
64066,Standard Class,2,4,0,Advance shipping
67292,Standard Class,3,4,0,Advance shipping
64531,Standard Class,2,4,0,Advance shipping
17211,Standard Class,2,4,0,Advance shipping
43521,Standard Class,2,4,0,Advance shipping
21197,Standard Class,3,4,0,Advance shipping
22261,Standard Class,2,4,0,Advance shipping
23967,Standard Class,3,4,0,Advance shipping
67322,Standard Class,3,4,0,Advance shipping
17506,Standard Class,2,4,0,Advance shipping
20152,Standard Class,3,4,0,Advance shipping
44721,Standard Class,2,4,0,Advance shipping
16107,Standard Class,3,4,0,Advance shipping
64892,Standard Class,3,4,0,Advance shipping
15042,Standard Class,3,4,0,Advance shipping
62197,Standard Class,3,4,0,Advance shipping
19702,Standard Class,3,4,0,Advance shipping
61612,Standard Class,3,4,0,Advance shipping
64612,Standard Class,3,4,0,Advance shipping
61997,Standard Class,3,4,0,Advance shipping
43576,Standard Class,2,4,0,Advance shipping
28441,Standard Class,2,4,0,Advance shipping
29181,Standard Class,2,4,0,Advance shipping
28827,Standard Class,3,4,0,Advance shipping
39551,Standard Class,2,4,0,Advance shipping
40716,Standard Class,2,4,0,Advance shipping
41612,Standard Class,3,4,0,Advance shipping
64456,Standard Class,2,4,0,Advance shipping
12852,Standard Class,3,4,0,Advance shipping
16497,Standard Class,3,4,0,Advance shipping
16437,Standard Class,3,4,0,Advance shipping
64091,Standard Class,2,4,0,Advance shipping
16797,Standard Class,3,4,0,Advance shipping
34742,Standard Class,3,4,0,Advance shipping
39471,Standard Class,2,4,0,Advance shipping
38916,Standard Class,2,4,0,Advance shipping
33006,Standard Class,2,4,0,Advance shipping
49076,Standard Class,2,4,0,Advance shipping
38866,Standard Class,2,4,0,Advance shipping
43681,Standard Class,2,4,0,Advance shipping
18486,Standard Class,2,4,0,Advance shipping
12001,Standard Class,2,4,0,Advance shipping
61902,Standard Class,3,4,0,Advance shipping
17372,Standard Class,3,4,0,Advance shipping
7136,Standard Class,2,4,0,Advance shipping
1311,Standard Class,2,4,0,Advance shipping
3186,Standard Class,2,4,0,Advance shipping
56061,Standard Class,2,4,0,Advance shipping
24982,Standard Class,3,4,0,Advance shipping
24717,Standard Class,3,4,0,Advance shipping
28967,Standard Class,3,4,0,Advance shipping
50741,Standard Class,2,4,0,Advance shipping
24747,Standard Class,3,4,0,Advance shipping
25071,Standard Class,2,4,0,Advance shipping
40322,Standard Class,3,4,0,Advance shipping
37882,Standard Class,3,4,0,Advance shipping
8477,Standard Class,3,4,0,Advance shipping
58401,Standard Class,2,4,0,Advance shipping
5101,Standard Class,2,4,0,Advance shipping
